neuron_id,pc1,pc2,cluster,region
534,0,-954.628,2,SENSORY
535,0,-954.628,2,SENSORY
536,0,-954.628,2,SENSORY
537,0,-954.628,2,SENSORY
538,0,-958.675,7,SENSORY
539,0,-954.628,2,SENSORY
540,0,-954.628,2,SENSORY
541,0,-954.628,2,SENSORY
542,0,-954.628,2,SENSORY
543,0,-954.628,2,SENSORY
544,0,-954.628,2,SENSORY
545,0,-954.628,2,SENSORY
546,0,-954.628,2,SENSORY
547,0,-954.628,2,SENSORY
548,0,-954.628,2,SENSORY
549,0,-954.628,2,SENSORY
550,0,-954.628,2,SENSORY
551,0,-954.628,2,SENSORY
552,0,-958.675,7,SENSORY
553,0,-954.628,2,SENSORY
554,0,-954.628,2,SENSORY
555,0,-954.628,2,SENSORY
556,0,-954.628,2,SENSORY
557,0,-958.675,7,SENSORY
558,0,-954.628,2,SENSORY
559,0,-954.628,2,SENSORY
560,0,-954.628,2,SENSORY
561,0,-954.628,2,SENSORY
562,0,-954.628,2,SENSORY
563,0,-954.628,2,SENSORY
564,0,-954.628,2,SENSORY
565,0,-954.628,2,SENSORY
566,0,-954.628,2,SENSORY
567,0,-954.628,2,SENSORY
568,0,-954.628,2,SENSORY
569,0,-954.628,2,SENSORY
570,0,-954.628,2,SENSORY
571,0,-954.628,2,SENSORY
572,0,-954.628,2,SENSORY
573,0,-954.628,2,SENSORY
574,0,-954.628,2,SENSORY
575,0,-958.675,7,SENSORY
576,0,-954.628,2,SENSORY
577,0,-954.628,2,SENSORY
578,0,-954.628,2,SENSORY
579,0,-954.628,2,SENSORY
580,0,-954.628,2,SENSORY
581,0,-954.628,2,SENSORY
582,0,-954.628,2,SENSORY
583,0,-954.628,2,SENSORY
584,0,-954.628,2,SENSORY
585,0,-954.628,2,SENSORY
586,0,-954.628,2,SENSORY
587,0,-954.628,2,SENSORY
588,0,-954.628,2,SENSORY
589,0,-954.628,2,SENSORY
590,0,-954.628,2,SENSORY
591,0,-954.628,2,SENSORY
