step,spikes,is_inject_step,byte,nmda_sum,nmda_nz,xpre_sum,xpre_nz,ca_sum,ca_nz,weight_sum,weight_abs_sum
243,0,0,0,787.1361,47952,27546.9141,1895729,6612.6201,1895729,1777397.8750,2962719.7500
244,0,0,0,780.5219,47952,26203.4355,1895729,6613.2759,1895729,1777397.8750,2962719.7500
245,0,0,0,774.1914,47952,24925.4805,1895729,6612.8188,1895729,1777397.8750,2962719.7500
246,0,0,0,768.0968,47952,23709.8516,1895729,6611.3213,1895729,1777397.8750,2962719.7500
247,0,0,0,762.2004,47952,22553.5078,1895729,6608.8447,1895729,1777397.8750,2962719.7500
248,0,0,0,756.4719,47952,21453.5625,1895729,6605.4409,1895729,1777397.8750,2962719.7500
249,0,0,0,750.8874,47952,20407.2598,1895729,6601.1567,1895729,1777397.8750,2962719.7500
250,2224,1,25,797.5359,47954,32087.4668,1896492,6605.5171,1896492,1777397.8750,2962719.7500
251,0,0,0,790.2366,47954,30522.5430,1896492,6608.4312,1896492,1777397.8750,2962719.7500
252,0,0,0,785.0751,47954,29033.9414,1896492,6610.4321,1896492,1777397.8750,2962719.7500
253,0,0,0,778.0237,47954,27617.9414,1896492,6611.1206,1896492,1777397.8750,2962719.7500
254,0,0,0,771.3381,47954,26270.9980,1896492,6610.6099,1896492,1777397.8750,2962719.7500
255,0,0,0,764.9545,47954,24989.7480,1896492,6608.9922,1896492,1777397.8750,2962719.7500
256,0,0,0,758.8225,47954,23770.9844,1896492,6606.3433,1896492,1777397.8750,2962719.7500
257,0,0,0,752.9019,47954,22611.6602,1896492,6602.7275,1896492,1777397.8750,2962719.7500
258,0,0,0,747.1605,47954,21508.8770,1896492,6598.1992,1896492,1777397.8750,2962719.7500
259,0,0,0,741.5726,47954,20459.8770,1896492,6592.8071,1896492,1777397.8750,2962719.7500
260,2216,1,26,787.0256,47955,32092.6367,1897062,6595.9536,1897062,1777397.8750,2962719.7500
261,0,0,0,778.7530,47955,30527.4629,1897062,6597.4526,1897062,1777397.8750,2962719.7500
262,0,0,0,773.7068,47955,29038.6211,1897062,6598.0859,1897062,1777397.8750,2962719.7500
263,0,0,0,766.8096,47955,27622.3926,1897062,6597.4619,1897062,1777397.8750,2962719.7500
264,0,0,0,760.2678,47955,26275.2324,1897062,6595.6895,1897062,1777397.8750,2962719.7500
265,0,0,0,754.0192,47955,24993.7754,1897062,6592.8574,1897062,1777397.8750,2962719.7500
266,0,0,0,748.0143,47955,23774.8145,1897062,6589.0405,1897062,1777397.8750,2962719.7500
267,0,0,0,742.2141,47955,22615.3047,1897062,6584.2993,1897062,1777397.8750,2962719.7500
268,0,0,0,736.5870,47955,21512.3438,1897062,6578.6875,1897062,1777397.8750,2962719.7500
269,0,0,0,731.1082,47955,20463.1738,1897062,6572.2505,1897062,1777397.8750,2962719.7500
270,2213,1,27,775.5522,47956,32080.8047,1897449,6574.2412,1897449,1777397.8750,2962719.7500
271,0,0,0,767.1401,47956,30516.2051,1897449,6574.5581,1897449,1777397.8750,2962719.7500
